Ticks, P1Time, P2Time, P3Time, TotalTime, Requests, Regions, Players, Rounds, HasQuest, Replys
3820035135, 1001, 0, 0, 1013, 0, 9, 0, 20, 0, 0
3820036148, 1000, 0, 0, 1004, 0, 9, 0, 20, 0, 0
3820037152, 1003, 0, 0, 1006, 0, 9, 0, 20, 0, 0
3820038158, 1002, 0, 0, 1005, 0, 9, 0, 20, 0, 0
3820039164, 1003, 0, 0, 1007, 0, 9, 0, 20, 0, 0
3820040171, 1003, 0, 0, 1006, 0, 9, 0, 20, 0, 0
3820041177, 1003, 0, 0, 1007, 0, 9, 0, 20, 0, 0
3820042184, 1001, 0, 29, 1052, 16, 9, 36, 20, 0, 130
3820043236, 800, 0, 173, 1037, 344, 9, 104, 16, 0, 1208
3820044273, 801, 0, 183, 1042, 632, 9, 132, 16, 0, 1996
3820045315, 850, 0, 148, 1023, 617, 8, 123, 17, 0, 2077
3820046338, 850, 0, 138, 1023, 633, 8, 124, 17, 0, 2100
3820047361, 851, 0, 137, 1016, 620, 8, 123, 17, 0, 2091
3820048377, 850, 0, 152, 1023, 628, 8, 123, 17, 0, 2091
3820049400, 850, 0, 153, 1021, 627, 8, 123, 17, 0, 2087
3820050421, 850, 0, 137, 1014, 614, 8, 122, 17, 0, 2060
3820051435, 850, 0, 131, 1025, 627, 8, 123, 17, 0, 2077
3820052460, 850, 0, 134, 1018, 616, 8, 123, 17, 0, 2077
3820053478, 850, 0, 135, 1018, 618, 8, 122, 17, 0, 2074
3820054496, 851, 0, 140, 1027, 627, 8, 122, 17, 1, 2074
3820055523, 850, 0, 137, 1025, 624, 8, 122, 17, 1, 2074
3820056548, 851, 0, 140, 1025, 625, 8, 123, 17, 1, 2078
3820057573, 852, 0, 141, 1027, 624, 8, 123, 17, 1, 2073
3820058600, 851, 0, 137, 1024, 621, 8, 122, 17, 1, 2068
3820059624, 851, 0, 151, 1016, 627, 8, 124, 17, 1, 2097
3820060640, 851, 0, 149, 1017, 630, 8, 125, 17, 1, 2109
3820061657, 853, 0, 137, 1024, 626, 8, 126, 17, 1, 2124
3820062681, 852, 0, 157, 1029, 632, 8, 125, 17, 1, 2106
3820063710, 850, 0, 152, 1034, 630, 8, 123, 17, 1, 2090
3820064744, 850, 0, 147, 1023, 618, 8, 124, 17, 1, 2097
3820065767, 851, 0, 145, 1018, 620, 8, 124, 17, 1, 2108
3820066785, 851, 0, 150, 1027, 627, 8, 125, 17, 1, 2119
3820067812, 851, 0, 142, 1023, 616, 8, 127, 17, 1, 2139
3820068835, 851, 0, 152, 1019, 631, 8, 129, 17, 1, 2163
3820069854, 850, 0, 160, 1029, 624, 8, 128, 17, 1, 2156
3820070883, 850, 0, 160, 1036, 626, 8, 127, 17, 1, 2137
3820071919, 850, 0, 149, 1027, 615, 8, 126, 17, 1, 2111
3820072946, 850, 0, 149, 1024, 596, 8, 122, 17, 1, 2061
3820073970, 850, 0, 157, 1034, 603, 8, 122, 17, 1, 2059
3820075004, 850, 0, 148, 1035, 593, 8, 123, 17, 1, 2067
3820076039, 850, 0, 158, 1034, 605, 8, 121, 17, 1, 2055
3820077073, 850, 0, 146, 1025, 588, 8, 122, 17, 1, 2068
3820078098, 851, 0, 150, 1024, 595, 8, 122, 17, 1, 2061
3820079122, 850, 0, 147, 1019, 586, 8, 122, 17, 1, 2069
3820080141, 850, 0, 148, 1031, 607, 8, 123, 17, 1, 2078
3820081172, 850, 0, 156, 1027, 599, 8, 124, 17, 1, 2095
3820082199, 851, 0, 146, 1017, 590, 8, 125, 17, 1, 2115
3820083216, 852, 0, 159, 1035, 611, 8, 125, 17, 1, 2108
3820084251, 851, 0, 157, 1038, 611, 8, 125, 17, 1, 2118
3820085289, 850, 0, 158, 1030, 608, 8, 126, 17, 1, 2127
3820086319, 850, 0, 152, 1023, 614, 8, 127, 17, 1, 2137
3820087342, 850, 0, 150, 1022, 611, 8, 128, 17, 1, 2154
3820088364, 850, 0, 158, 1032, 630, 8, 129, 17, 1, 2184
3820089396, 850, 0, 162, 1035, 635, 8, 130, 17, 1, 2193
3820090431, 850, 0, 154, 1036, 628, 8, 130, 17, 1, 2174
3820091467, 850, 0, 148, 1032, 605, 8, 126, 17, 1, 2129
3820092499, 850, 0, 142, 1030, 606, 8, 126, 17, 1, 2081
3820093529, 851, 0, 150, 1029, 602, 8, 124, 17, 1, 2086
3820094558, 851, 0, 146, 1030, 591, 8, 123, 17, 1, 2070
3820095588, 850, 0, 133, 1022, 577, 8, 119, 17, 1, 2022
3820096610, 850, 0, 141, 1029, 574, 8, 121, 17, 1, 2030
3820097639, 850, 0, 148, 1019, 569, 8, 121, 17, 1, 2045
3820098658, 851, 0, 147, 1023, 601, 8, 121, 17, 1, 2043
3820099681, 850, 0, 137, 1015, 565, 8, 119, 17, 1, 2011
3820100696, 853, 0, 147, 1030, 568, 8, 117, 17, 1, 1981
3820101726, 850, 0, 127, 1022, 552, 8, 116, 17, 1, 1965
3820102748, 850, 0, 144, 1033, 572, 8, 118, 17, 1, 1978
3820103781, 851, 1, 143, 1024, 580, 8, 119, 17, 1, 2008
3820104805, 850, 0, 157, 1035, 585, 10, 121, 17, 1, 2029
3820105840, 851, 0, 146, 1028, 576, 10, 120, 17, 1, 2024
3820106868, 850, 0, 153, 1026, 568, 10, 118, 17, 1, 2003
3820107895, 851, 0, 152, 1024, 577, 10, 118, 17, 1, 1996
3820108919, 850, 0, 148, 1032, 584, 10, 117, 17, 1, 1983
3820109951, 850, 0, 149, 1031, 561, 10, 117, 17, 1, 1962
3820110982, 851, 0, 147, 1029, 544, 10, 113, 17, 1, 1890
3820112011, 851, 0, 138, 1034, 542, 10, 110, 17, 1, 1870
3820113045, 851, 0, 136, 1027, 528, 10, 110, 17, 1, 1859
3820114072, 851, 0, 135, 1033, 511, 10, 107, 17, 1, 1813
3820115105, 850, 0, 164, 1036, 595, 11, 124, 17, 1, 2035
3820116141, 850, 0, 168, 1041, 618, 11, 125, 17, 1, 2110
3820117182, 850, 0, 138, 1020, 591, 11, 124, 17, 1, 2079
3820118202, 851, 0, 153, 1025, 600, 11, 124, 17, 1, 2093
3820119227, 850, 0, 138, 1021, 583, 11, 122, 17, 1, 2030
3820120248, 850, 0, 138, 1026, 573, 11, 120, 17, 1, 2015
3820121274, 850, 0, 149, 1032, 578, 11, 121, 17, 1, 2042
3820122306, 850, 0, 150, 1030, 590, 11, 120, 17, 1, 2024
3820123336, 850, 0, 148, 1021, 579, 11, 119, 17, 1, 2023
3820124357, 850, 0, 156, 1026, 592, 11, 121, 17, 1, 2039
3820125383, 851, 0, 145, 1029, 574, 11, 121, 17, 1, 2022
3820126412, 851, 0, 150, 1028, 576, 11, 121, 17, 1, 2039
3820127440, 851, 0, 146, 1022, 588, 11, 119, 17, 1, 2014
3820128462, 851, 0, 133, 1013, 554, 11, 118, 17, 1, 1994
3820129475, 850, 0, 146, 1031, 566, 11, 120, 17, 1, 2017
3820130506, 851, 0, 148, 1023, 593, 11, 121, 17, 1, 2047
3820131529, 851, 0, 136, 1032, 593, 11, 121, 17, 1, 2046
3820132561, 851, 0, 133, 1025, 590, 11, 121, 17, 1, 2033
3820133586, 850, 0, 143, 1021, 579, 11, 119, 17, 1, 2023
3820134609, 851, 0, 138, 1029, 581, 11, 120, 17, 1, 2030
3820135638, 850, 0, 151, 1034, 585, 11, 120, 17, 1, 2034
3820136672, 851, 0, 154, 1027, 559, 11, 120, 17, 0, 2024
3820137699, 850, 0, 149, 1029, 608, 11, 121, 17, 0, 2049
3820138728, 852, 0, 152, 1038, 632, 11, 122, 17, 0, 2062
3820139766, 850, 0, 154, 1030, 604, 11, 121, 17, 0, 2035
3820140796, 850, 0, 154, 1033, 590, 11, 122, 17, 0, 2059
3820141829, 850, 0, 151, 1020, 611, 11, 125, 17, 0, 2092
3820142849, 850, 0, 153, 1019, 604, 11, 127, 17, 0, 2125
3820143868, 850, 0, 160, 1027, 603, 11, 127, 17, 0, 2143
3820144895, 850, 0, 162, 1041, 624, 11, 127, 17, 0, 2146
3820145936, 851, 0, 146, 1020, 615, 11, 127, 17, 0, 2143
3820146956, 850, 0, 158, 1025, 612, 11, 126, 17, 0, 2130
3820147981, 850, 0, 166, 1043, 632, 11, 125, 17, 0, 2110
3820149025, 850, 0, 168, 1037, 621, 11, 125, 17, 0, 2111
3820150062, 851, 0, 166, 1039, 608, 11, 126, 17, 0, 2135
3820151101, 850, 0, 150, 1045, 628, 11, 126, 17, 0, 2127
