Ticks, P1Time, P2Time, P3Time, TotalTime, Requests, Regions, Players, Rounds, HasQuest, Replys
3818976855, 952, 0, 0, 1017, 0, 9, 0, 19, 0, 0
3818977872, 1002, 0, 1, 1004, 0, 9, 0, 20, 0, 0
3818978876, 1003, 0, 0, 1005, 0, 9, 0, 20, 0, 0
3818979881, 952, 0, 57, 1026, 275, 9, 60, 19, 0, 290
3818980907, 751, 1, 205, 1026, 636, 9, 108, 15, 0, 1364
3818981933, 850, 0, 157, 1047, 681, 9, 122, 17, 0, 2011
3818982980, 850, 0, 139, 1017, 615, 9, 122, 17, 0, 2074
3818983997, 851, 0, 145, 1027, 622, 9, 122, 17, 0, 2074
3818985024, 850, 0, 145, 1018, 613, 9, 122, 17, 0, 2074
3818986042, 850, 0, 150, 1037, 628, 9, 122, 17, 0, 2074
3818987079, 850, 1, 145, 1018, 611, 9, 122, 17, 0, 2074
3818988097, 851, 1, 145, 1033, 622, 9, 122, 17, 0, 2074
3818989130, 850, 0, 142, 1019, 620, 9, 122, 17, 0, 2074
3818990149, 852, 1, 141, 1021, 621, 9, 122, 17, 0, 2074
3818991171, 852, 0, 142, 1022, 621, 9, 122, 17, 0, 2074
3818992193, 850, 0, 135, 1020, 614, 9, 121, 17, 0, 2043
3818993213, 850, 0, 138, 1026, 605, 9, 119, 17, 0, 2023
3818994239, 850, 0, 126, 1029, 613, 9, 119, 17, 0, 2023
3818995269, 850, 1, 140, 1029, 610, 9, 119, 17, 0, 2023
3818996298, 853, 0, 142, 1025, 603, 9, 119, 17, 1, 2023
3818997323, 850, 0, 135, 1021, 606, 9, 119, 17, 1, 2023
3818998344, 850, 0, 139, 1016, 603, 9, 119, 17, 1, 2023
3818999360, 851, 0, 143, 1018, 605, 9, 119, 17, 1, 2023
3819000378, 850, 0, 140, 1026, 600, 9, 121, 17, 1, 2031
3819001404, 850, 1, 132, 1024, 607, 9, 121, 17, 1, 2057
3819002428, 852, 1, 138, 1027, 612, 9, 121, 17, 1, 2057
3819003455, 851, 0, 142, 1023, 620, 9, 122, 17, 1, 2061
3819004478, 850, 0, 158, 1034, 625, 9, 124, 17, 1, 2102
3819005512, 850, 0, 149, 1031, 618, 9, 125, 17, 1, 2111
3819006543, 852, 0, 164, 1050, 646, 9, 128, 17, 1, 2153
3819007593, 850, 0, 159, 1040, 644, 9, 128, 17, 1, 2176
3819008633, 850, 0, 163, 1026, 653, 9, 130, 17, 1, 2200
3819009659, 851, 0, 150, 1027, 637, 9, 131, 17, 1, 2216
3819010686, 851, 0, 171, 1039, 662, 9, 133, 17, 1, 2248
3819011725, 851, 0, 156, 1024, 655, 9, 135, 17, 1, 2280
3819012749, 851, 0, 178, 1041, 678, 9, 137, 17, 1, 2324
3819013790, 851, 0, 153, 1020, 687, 9, 139, 17, 1, 2354
3819014810, 851, 0, 158, 1034, 668, 9, 140, 17, 1, 2369
3819015844, 851, 0, 162, 1030, 697, 9, 140, 17, 1, 2380
3819016874, 852, 0, 148, 1030, 610, 9, 140, 17, 1, 2064
3819017904, 850, 0, 145, 1025, 579, 8, 119, 17, 1, 2013
3819018929, 851, 1, 138, 1026, 565, 8, 118, 17, 1, 1994
3819019956, 850, 0, 143, 1028, 570, 8, 118, 17, 1, 1992
3819020984, 850, 1, 141, 1029, 572, 8, 118, 17, 1, 2006
3819022013, 851, 0, 149, 1040, 596, 8, 119, 17, 1, 2022
3819023053, 851, 0, 153, 1034, 595, 8, 124, 17, 1, 2067
3819024087, 850, 0, 159, 1030, 610, 8, 125, 17, 1, 2122
3819025117, 851, 1, 157, 1039, 604, 8, 125, 17, 1, 2109
3819026156, 850, 1, 140, 1030, 604, 8, 125, 17, 1, 2111
3819027186, 851, 0, 158, 1029, 600, 8, 123, 17, 1, 2088
3819028215, 850, 0, 167, 1034, 608, 8, 124, 17, 1, 2102
3819029250, 801, 0, 173, 1007, 590, 8, 125, 16, 1, 1987
3819030257, 852, 1, 164, 1050, 633, 8, 126, 17, 1, 2138
3819031307, 850, 1, 181, 1051, 635, 8, 130, 17, 1, 2167
3819032358, 851, 0, 173, 1041, 642, 8, 133, 17, 1, 2236
3819033399, 850, 1, 172, 1051, 660, 8, 131, 17, 1, 2223
3819034450, 850, 0, 163, 1048, 659, 8, 130, 17, 1, 2209
3819035498, 850, 2, 155, 1057, 651, 8, 131, 17, 1, 2214
3819036555, 851, 0, 155, 1046, 614, 8, 129, 17, 1, 2138
3819037601, 850, 0, 151, 1048, 623, 7, 124, 17, 1, 2083
3819038649, 850, 2, 156, 1055, 609, 7, 122, 17, 1, 2066
3819039704, 850, 1, 150, 1043, 601, 7, 123, 17, 1, 2076
3819040747, 850, 0, 161, 1052, 613, 7, 124, 17, 1, 2095
3819041799, 852, 0, 150, 1034, 600, 7, 125, 17, 1, 2096
3819042833, 850, 0, 166, 1047, 630, 7, 127, 17, 1, 2141
3819043880, 850, 0, 158, 1031, 620, 7, 126, 17, 1, 2134
3819044911, 850, 0, 147, 1032, 624, 7, 128, 17, 1, 2158
3819045943, 852, 1, 164, 1041, 632, 7, 130, 17, 1, 2186
3819046984, 850, 1, 150, 1027, 624, 7, 130, 17, 1, 2178
3819048011, 850, 1, 153, 1043, 641, 7, 129, 17, 1, 2188
3819049054, 850, 0, 159, 1036, 629, 7, 131, 17, 1, 2199
3819050090, 852, 1, 147, 1027, 652, 7, 133, 17, 1, 2259
3819051117, 851, 1, 151, 1033, 656, 7, 135, 17, 1, 2276
3819052151, 850, 3, 148, 1028, 648, 7, 137, 17, 1, 2320
3819053179, 851, 0, 151, 1028, 676, 7, 137, 17, 1, 2323
3819054207, 851, 0, 155, 1026, 671, 7, 139, 17, 1, 2344
3819055233, 851, 0, 159, 1031, 685, 7, 140, 17, 1, 2375
3819056264, 850, 0, 172, 1040, 681, 7, 140, 17, 1, 2371
3819057304, 850, 1, 158, 1032, 679, 7, 140, 17, 1, 2357
3819058337, 850, 0, 158, 1031, 674, 7, 141, 17, 1, 2377
3819059368, 851, 0, 152, 1025, 676, 7, 141, 17, 1, 2392
3819060393, 850, 0, 156, 1030, 695, 7, 142, 17, 1, 2403
3819061423, 851, 0, 161, 1025, 698, 7, 146, 17, 1, 2447
3819062448, 850, 0, 160, 1028, 709, 7, 147, 17, 1, 2487
3819063476, 850, 0, 170, 1039, 717, 7, 146, 17, 1, 2482
3819064515, 850, 0, 154, 1031, 701, 7, 146, 17, 1, 2456
3819065546, 850, 1, 163, 1036, 690, 7, 145, 17, 1, 2458
3819066582, 852, 0, 152, 1032, 705, 7, 145, 17, 1, 2393
3819067614, 850, 1, 153, 1023, 678, 6, 140, 17, 1, 2361
3819068637, 851, 0, 170, 1039, 713, 6, 141, 17, 0, 2385
3819069676, 850, 0, 169, 1041, 713, 6, 141, 17, 0, 2372
3819070717, 850, 0, 159, 1028, 700, 6, 141, 17, 0, 2377
3819071745, 850, 1, 163, 1028, 683, 6, 141, 17, 0, 2393
3819072773, 850, 0, 155, 1030, 694, 6, 141, 17, 0, 2397
3819073803, 850, 0, 153, 1020, 696, 6, 141, 17, 0, 2394
3819074823, 850, 0, 154, 1024, 677, 6, 140, 17, 0, 2364
3819075847, 850, 0, 156, 1027, 681, 6, 139, 17, 0, 2351
3819076874, 851, 0, 142, 1027, 660, 6, 138, 17, 0, 2335
