Ticks, P1Time, P2Time, P3Time, TotalTime, Requests, Regions, Players, Rounds, HasQuest, Replys
3815572266, 1002, 0, 0, 1015, 0, 9, 0, 20, 0, 0
3815573281, 1001, 0, 0, 1002, 0, 9, 0, 20, 0, 0
3815574284, 1000, 0, 0, 1003, 0, 9, 0, 20, 0, 0
3815575287, 901, 0, 78, 1048, 202, 9, 86, 18, 0, 865
3815576335, 751, 0, 186, 1002, 531, 9, 133, 15, 0, 1685
3815577340, 851, 0, 155, 1023, 680, 9, 134, 17, 0, 2262
3815578363, 851, 0, 162, 1027, 691, 9, 134, 17, 0, 2278
3815579390, 850, 0, 152, 1020, 682, 9, 134, 17, 0, 2278
3815580410, 851, 0, 143, 1017, 672, 9, 134, 17, 0, 2265
3815581427, 850, 0, 144, 1009, 676, 9, 134, 17, 0, 2273
3815582437, 852, 0, 142, 1028, 685, 9, 134, 17, 0, 2272
3815583465, 852, 0, 145, 1013, 668, 9, 132, 17, 0, 2240
3815584478, 851, 0, 155, 1017, 672, 9, 133, 17, 0, 2258
3815585495, 851, 0, 148, 1015, 659, 9, 131, 17, 0, 2227
3815586511, 851, 0, 149, 1026, 683, 9, 131, 17, 0, 2227
3815587538, 850, 0, 147, 1021, 660, 9, 131, 17, 0, 2215
3815588559, 850, 0, 150, 1015, 660, 9, 131, 17, 0, 2213
3815589574, 850, 0, 159, 1020, 672, 9, 132, 17, 0, 2236
3815590595, 851, 0, 159, 1031, 675, 9, 133, 17, 0, 2256
3815591626, 850, 0, 144, 1023, 674, 9, 133, 17, 1, 2261
3815592649, 850, 0, 147, 1020, 670, 9, 132, 17, 1, 2244
3815593669, 851, 0, 156, 1017, 661, 9, 132, 17, 1, 2237
3815594686, 850, 0, 157, 1026, 660, 9, 132, 17, 1, 2232
3815595712, 850, 0, 150, 1023, 671, 9, 131, 17, 1, 2225
3815596735, 850, 0, 160, 1020, 643, 9, 130, 17, 1, 2210
3815597755, 850, 0, 159, 1021, 645, 9, 131, 17, 1, 2213
3815598776, 850, 0, 145, 1016, 636, 9, 130, 17, 1, 2179
3815599792, 851, 0, 142, 1026, 630, 9, 126, 17, 1, 2140
3815600818, 850, 0, 138, 1031, 629, 9, 127, 17, 1, 2143
3815601849, 850, 0, 135, 1022, 631, 9, 128, 17, 1, 2164
3815602871, 850, 0, 153, 1026, 625, 9, 128, 17, 1, 2170
3815603897, 851, 0, 145, 1025, 624, 9, 128, 17, 1, 2161
3815604922, 851, 0, 162, 1030, 626, 9, 128, 17, 1, 2116
3815605952, 850, 0, 138, 1023, 590, 9, 122, 17, 1, 2068
3815606975, 853, 0, 144, 1025, 600, 9, 122, 17, 1, 2069
3815608000, 850, 0, 142, 1022, 592, 9, 122, 17, 1, 2064
3815609024, 852, 0, 142, 1029, 597, 9, 123, 17, 1, 2078
3815610053, 850, 0, 152, 1031, 605, 9, 123, 17, 1, 2083
3815611084, 850, 0, 148, 1018, 588, 9, 123, 17, 1, 2091
3815612102, 850, 0, 144, 1018, 590, 9, 123, 17, 1, 2074
3815613120, 852, 0, 130, 1016, 601, 9, 121, 17, 1, 2034
3815614136, 850, 0, 149, 1022, 583, 9, 121, 17, 1, 2049
3815615158, 850, 0, 140, 1031, 582, 9, 121, 17, 1, 2049
3815616189, 852, 0, 129, 1024, 585, 9, 120, 17, 1, 2032
3815617213, 851, 0, 140, 1029, 598, 9, 120, 17, 1, 2029
3815618242, 850, 0, 141, 1028, 581, 9, 119, 17, 1, 2016
3815619271, 851, 0, 130, 1036, 566, 9, 118, 17, 1, 1984
3815620307, 851, 0, 141, 1030, 573, 9, 116, 17, 1, 1972
3815621337, 851, 0, 145, 1028, 569, 9, 116, 17, 1, 1967
3815622365, 851, 0, 143, 1029, 561, 9, 116, 17, 1, 1960
3815623394, 851, 0, 142, 1042, 572, 9, 116, 17, 1, 1953
3815624436, 850, 0, 138, 1040, 587, 9, 115, 17, 1, 1950
3815625476, 850, 0, 133, 1026, 549, 9, 115, 17, 1, 1943
3815626502, 852, 0, 158, 1050, 581, 9, 116, 17, 1, 1971
3815627552, 850, 0, 129, 1031, 570, 9, 116, 17, 1, 1967
3815628583, 850, 0, 138, 1034, 567, 9, 117, 17, 1, 1973
3815629617, 851, 0, 141, 1052, 579, 9, 115, 17, 1, 1940
3815630669, 850, 0, 124, 1039, 559, 9, 116, 17, 1, 1940
3815631708, 850, 0, 142, 1026, 565, 9, 116, 17, 1, 1957
3815632734, 850, 0, 137, 1029, 571, 9, 118, 17, 1, 1986
3815633763, 851, 0, 135, 1025, 565, 9, 117, 17, 1, 1983
3815634788, 850, 0, 152, 1045, 574, 9, 117, 17, 1, 1989
3815635833, 850, 0, 144, 1034, 577, 9, 117, 17, 1, 1980
3815636867, 850, 0, 141, 1034, 568, 9, 117, 17, 1, 1978
3815637901, 850, 0, 145, 1031, 590, 9, 118, 17, 1, 1996
3815638933, 851, 0, 140, 1037, 578, 9, 120, 17, 1, 2015
3815639970, 850, 0, 139, 1032, 567, 9, 120, 17, 1, 1994
3815641002, 850, 0, 132, 1040, 581, 9, 116, 17, 1, 1954
3815642042, 850, 0, 148, 1042, 563, 9, 115, 17, 1, 1954
3815643084, 850, 0, 136, 1035, 565, 9, 115, 17, 1, 1950
3815644119, 850, 0, 130, 1037, 561, 9, 115, 17, 1, 1945
3815645156, 850, 0, 142, 1034, 577, 9, 116, 17, 1, 1962
3815646190, 851, 0, 135, 1043, 557, 9, 115, 17, 0, 1925
3815647233, 850, 0, 134, 1036, 591, 9, 115, 17, 0, 1944
3815648269, 850, 0, 137, 1038, 580, 9, 117, 17, 0, 1970
3815649307, 850, 0, 143, 1039, 592, 9, 116, 17, 0, 1965
3815650346, 850, 0, 140, 1028, 575, 9, 116, 17, 0, 1972
3815651375, 850, 0, 139, 1028, 576, 9, 117, 17, 0, 1977
3815652403, 850, 0, 164, 1060, 590, 9, 119, 17, 0, 1993
3815653463, 850, 0, 143, 1034, 577, 9, 119, 17, 0, 2007
3815654497, 851, 0, 153, 1052, 608, 9, 119, 17, 0, 2008
3815655549, 850, 0, 153, 1048, 601, 9, 120, 17, 0, 2024
3815656597, 851, 0, 134, 1042, 605, 9, 120, 17, 0, 2028
3815657639, 850, 0, 140, 1037, 597, 9, 119, 17, 0, 2022
3815658677, 850, 0, 143, 1039, 566, 9, 118, 17, 0, 1981
3815659716, 851, 0, 140, 1049, 590, 9, 117, 17, 0, 1973
3815660765, 851, 0, 137, 1033, 574, 9, 118, 17, 0, 1998
3815661798, 851, 0, 137, 1047, 610, 9, 119, 17, 0, 2015
3815662845, 850, 0, 155, 1042, 600, 9, 122, 17, 0, 2063
3815663887, 850, 0, 137, 1038, 610, 9, 123, 17, 0, 2077
3815664925, 851, 0, 135, 1044, 604, 9, 121, 17, 0, 2026
3815665969, 851, 0, 134, 1042, 593, 9, 119, 17, 1, 2023
3815667011, 851, 0, 143, 1046, 625, 9, 120, 17, 1, 2017
3815668057, 851, 0, 140, 1042, 612, 9, 121, 17, 1, 2046
3815669099, 852, 0, 132, 1028, 624, 9, 121, 17, 1, 2052
3815670127, 850, 0, 130, 1039, 594, 9, 120, 17, 1, 2002
3815671166, 852, 0, 135, 1042, 579, 9, 116, 17, 1, 1962
3815672208, 850, 0, 126, 1037, 575, 9, 115, 17, 1, 1931
3815673245, 851, 0, 128, 1043, 549, 9, 113, 17, 1, 1910
3815674288, 850, 0, 125, 1047, 545, 9, 112, 17, 1, 1897
3815675335, 850, 0, 131, 1039, 557, 9, 113, 17, 1, 1897
3815676374, 851, 0, 128, 1056, 573, 9, 113, 17, 1, 1916
3815677430, 850, 0, 128, 1040, 570, 9, 114, 17, 1, 1926
3815678470, 850, 0, 136, 1056, 573, 9, 115, 17, 1, 1952
3815679526, 853, 0, 125, 1047, 571, 9, 115, 17, 1, 1954
3815680573, 850, 0, 124, 1041, 563, 9, 114, 17, 1, 1937
3815681614, 850, 0, 130, 1055, 573, 9, 115, 17, 1, 1946
3815682669, 850, 0, 122, 1050, 572, 9, 115, 17, 1, 1951
3815683719, 851, 0, 122, 1044, 578, 9, 116, 17, 1, 1961
3815684763, 800, 0, 143, 1006, 541, 9, 116, 16, 1, 1837
3815685770, 851, 0, 128, 1053, 556, 9, 112, 17, 1, 1903
3815686823, 800, 0, 122, 1006, 523, 9, 112, 16, 1, 1777
3815687829, 851, 0, 124, 1058, 563, 9, 113, 17, 1, 1896
3815688887, 850, 0, 124, 1060, 564, 9, 111, 17, 1, 1882
3815689947, 801, 0, 139, 1023, 531, 9, 110, 16, 1, 1750
3815690970, 801, 0, 127, 1009, 518, 9, 109, 16, 1, 1729
3815691979, 800, 0, 124, 1004, 515, 9, 110, 16, 1, 1732
3815692983, 801, 0, 117, 1013, 530, 9, 110, 16, 1, 1744
3815693996, 801, 0, 123, 1008, 515, 9, 108, 16, 1, 1717
3815695004, 802, 0, 113, 1007, 514, 9, 107, 16, 1, 1712
3815696012, 850, 0, 124, 1065, 543, 9, 108, 17, 1, 1829
3815697077, 800, 0, 131, 1009, 518, 9, 110, 16, 1, 1745
3815698086, 800, 0, 113, 1007, 511, 9, 109, 16, 1, 1728
3815699093, 851, 0, 111, 1060, 544, 9, 108, 17, 1, 1825
3815700153, 800, 0, 113, 1002, 506, 9, 108, 16, 1, 1708
3815701156, 800, 0, 103, 1002, 505, 9, 106, 16, 1, 1691
3815702158, 800, 0, 120, 1013, 496, 9, 105, 16, 1, 1675
3815703171, 800, 0, 118, 1009, 502, 9, 106, 16, 1, 1685
3815704180, 801, 0, 111, 1007, 504, 9, 106, 16, 1, 1684
3815705187, 800, 0, 119, 1010, 508, 9, 105, 16, 1, 1672
3815706197, 800, 0, 115, 1022, 506, 9, 104, 16, 1, 1655
3815707219, 800, 0, 95, 1020, 477, 9, 101, 16, 1, 1593
3815708239, 801, 0, 111, 1022, 475, 9, 100, 16, 1, 1585
3815709261, 801, 0, 106, 1020, 487, 9, 102, 16, 1, 1622
3815710281, 800, 0, 119, 1021, 481, 9, 105, 16, 1, 1666
3815711302, 800, 0, 116, 1024, 510, 9, 106, 16, 1, 1688
3815712326, 801, 0, 113, 1021, 514, 9, 106, 16, 1, 1682
3815713347, 800, 0, 101, 1022, 513, 9, 106, 16, 1, 1690
3815714369, 800, 0, 108, 1024, 512, 9, 108, 16, 1, 1709
3815715393, 801, 0, 116, 1018, 504, 9, 106, 16, 1, 1674
3815716411, 801, 0, 109, 1031, 490, 9, 104, 16, 1, 1641
3815717442, 800, 0, 106, 1028, 483, 9, 101, 16, 1, 1607
3815718470, 801, 0, 106, 1023, 473, 9, 101, 16, 1, 1611
3815719493, 800, 0, 100, 1029, 479, 9, 102, 16, 1, 1605
3815720522, 800, 0, 99, 1026, 479, 9, 102, 16, 1, 1582
3815721548, 801, 0, 105, 1039, 484, 9, 99, 16, 1, 1575
3815722587, 801, 0, 95, 1044, 471, 9, 100, 16, 1, 1562
3815723631, 800, 0, 107, 1047, 492, 9, 101, 16, 1, 1598
3815724678, 800, 0, 101, 1042, 483, 9, 100, 16, 1, 1597
3815725720, 800, 0, 104, 1046, 496, 9, 101, 16, 1, 1609
3815726766, 800, 0, 108, 1046, 478, 9, 100, 16, 1, 1600
