Ticks, P1Time, P2Time, P3Time, TotalTime, Requests, Regions, Players, Rounds, HasQuest, Replys
3816373224, 1001, 0, 0, 1024, 0, 9, 0, 20, 0, 0
3816374248, 1005, 0, 0, 1008, 0, 9, 0, 20, 0, 0
3816375256, 1002, 0, 13, 1041, 156, 9, 39, 20, 0, 119
3816376297, 750, 0, 198, 1016, 584, 9, 98, 15, 0, 1115
3816377313, 803, 0, 201, 1048, 712, 9, 126, 16, 0, 1896
3816378361, 852, 0, 139, 1023, 643, 9, 126, 17, 0, 2140
3816379384, 850, 0, 153, 1025, 649, 9, 126, 17, 0, 2142
3816380409, 850, 0, 151, 1019, 643, 9, 128, 17, 0, 2150
3816381428, 850, 0, 148, 1022, 656, 9, 129, 17, 0, 2189
3816382450, 850, 0, 144, 1018, 654, 9, 129, 17, 0, 2193
3816383468, 853, 0, 154, 1023, 657, 9, 130, 17, 0, 2203
3816384491, 851, 0, 147, 1024, 661, 9, 130, 17, 0, 2210
3816385515, 851, 1, 144, 1024, 662, 9, 130, 17, 0, 2196
3816386539, 852, 0, 142, 1009, 651, 9, 130, 17, 0, 2195
3816387548, 850, 0, 149, 1019, 645, 9, 128, 17, 0, 2168
3816388567, 851, 1, 137, 1018, 652, 9, 128, 17, 0, 2176
3816389585, 852, 0, 146, 1021, 651, 9, 129, 17, 0, 2191
3816390606, 851, 1, 151, 1023, 660, 9, 129, 17, 0, 2187
3816391629, 851, 0, 131, 1020, 639, 9, 128, 17, 0, 2176
3816392649, 851, 0, 160, 1033, 653, 9, 130, 17, 1, 2197
3816393682, 850, 1, 163, 1030, 663, 9, 130, 17, 1, 2210
3816394712, 851, 0, 148, 1021, 669, 9, 131, 17, 1, 2219
3816395733, 850, 0, 151, 1025, 666, 9, 132, 17, 1, 2238
3816396758, 851, 0, 155, 1036, 677, 9, 132, 17, 1, 2244
3816397794, 850, 0, 164, 1034, 673, 9, 133, 17, 1, 2250
3816398828, 851, 1, 150, 1026, 662, 9, 134, 17, 1, 2268
3816399854, 851, 1, 158, 1031, 666, 9, 134, 17, 1, 2278
3816400885, 851, 0, 160, 1028, 665, 9, 136, 17, 1, 2285
